quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
summer,2015,2015-C,Tina & Kat,2-Aug-15,2,140,160,NA,NA,Y,Y,10,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA
summer,2015,2015-C,Tina Cheng,3-Aug-15,3,140,160,NA,NA,Y,Y,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2017,2017-D,Alex Jones,20-Nov-17,3,40,280,NA,NA,Y,Y,12,Peromyscus,californicus,55,10,45,adult,NA,F,NA,131,6,24,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Tyler,30-May-12,3,20,80,NA,NA,Y,Y,16,NA,NA,40,NA,NA,NA,NA,M,NA,90,NA,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,29-May-12,2,120,100,NA,NA,Y,N,16,Peromyscus,californicus,40,NA,NA,NA,NA,M,NA,120,NA,25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,28-May-12,1,180,240,NA,NA,Y,Y,17,Peromyscus,truei,32,NA,NA,NA,NA,M,NA,95,NA,20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Sam,30-May-12,3,180,240,NA,NA,Y,Y,17,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,"V. Williams, J. Johnson, J. Smith",12-Nov-12,3,60,260,NA,NA,Y,Y,18,Peromyscus,truei,20,NA,NA,NA,NA,M,NA,92,NA,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; DEAD
summer,2012,2012-C,Chris Lay & Alex Jones,7-Sep-12,2,120,180,NA,NA,Y,N,18,Peromyscus,truei,22,8,14,NA,NA,F,NA,83,NA,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Tyler,30-May-12,3,40,140,NA,NA,Y,Y,19,NA,NA,35,NA,NA,NA,NA,M,NA,90,NA,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,"Rachel, Meredith, Soren",8-Sep-12,3,20,20,NA,NA,Y,N,20,Peromyscus,californicus,50,10,40,NA,NA,NA,NA,140,NA,26,22,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA
summer,2012,2012-C,J. Smith,7-Sep-12,2,180,120,NA,NA,Y,Y,20,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2010,2010-D,Eli & Brendon,6-Nov-10,3,120,100,NA,NA,Y,Y,22,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,28-May-12,1,20,20,NA,NA,Y,N,22,Peromyscus,truei,15,NA,NA,NA,NA,M,NA,90,NA,23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,Tony K & Tina C,18-May-15,3,180,20,NA,NA,Y,NA,22,Peromyscus,truei,36,9,27,NA,NA,M,NA,111,NA,22,18,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
summer,2012,2012-C,"Rachel, Meredith, Soren",8-Sep-12,3,40,20,NA,NA,Y,Y,23,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,28-May-12,1,60,20,NA,NA,Y,Y,23,Peromyscus,truei,30,NA,NA,NA,NA,M,NA,70,NA,20,15,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; TAG RIPPED OUT
spring,2012,2012-B,Chris & Quin,29-May-12,2,60,20,NA,NA,Y,Y,23,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
