quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments,dead,no_tag,no_tag_reason,tag_no,tag_no_new,tag_prefix,tag_id_new,date_dist,trap_dist,FE_startdate,FE_datediff,date_dist_no,tag_prefix_new,FEtag_change,new_tag,n,tag_group,tag_no_prefix,tag_id_change
summer,2012,2012-C,Chris Lay & Alex Jones,2012-09-07,2,140,100,NA,NA,y,n,8,Peromyscus,californicus,NA,NA,NA,NA,NA,F,NA,117,NA,24,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0008,8,NA,0008,NA,NA,2018-11-17,-2262,1225,NA,NA,y,2,2,0,n
spring,2009,2009-B,NA,2009-04-30,2,160,20,NA,NA,y,n,9,Peromyscus,truei,NA,NA,27,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,Recap from March,NA,NA,NA,0009,9,NA,0009,NA,NA,2018-11-17,-3488,NA,NA,NA,n,NA,2,0,n
summer,2009,2009-C,NA,2009-07-30,2,160,20,NA,NA,y,y,9,Peromyscus,truei,NA,NA,27,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009,9,NA,0009,91,0,2018-11-17,-3397,91,NA,NA,n,NA,2,0,n
fall,2012,2012-D,"Matt, Jessica, Denn, Vaughon & Rachel",2012-11-11,2,20,220,NA,NA,y,y,9,Peromyscus,truei,NA,NA,18,NA,NA,M,NA,100,NA,24,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009,9,NA,0009,1200,244.13111231467406,2018-11-17,-2197,66,NA,NA,y,3,3,0,n
fall,2012,2012-D,"V. Williams, J. Johnson, J. Smith",2012-11-12,3,20,220,NA,NA,y,y,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009,9,NA,0009,1,0,2018-11-17,-2196,1,NA,NA,n,NA,3,0,n
summer,2015,2015-C,"Jordan, Allie, Jessica",2015-08-01,1,160,160,NA,NA,y,n,10,Peromyscus,californicus,NA,NA,40,adult,NA,M,NA,128,NA,27,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0010,10,NA,0010,NA,NA,2018-11-17,-1204,NA,NA,NA,y,1,1,0,n
summer,2015,2015-C,Tina & Kat,2015-08-02,2,140,160,NA,NA,y,y,10,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0010,10,NA,0010,1,20,2018-11-17,-1203,1,NA,NA,n,NA,1,0,n
summer,2015,2015-C,Tina Cheng,2015-08-03,3,140,160,NA,NA,y,y,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0010,10,NA,0010,1,0,2018-11-17,-1202,1,NA,NA,n,NA,1,0,n
fall,2017,2017-D,Alex Jones,2017-11-20,3,40,280,NA,NA,y,y,12,Peromyscus,californicus,NA,NA,45,adult,NA,F,NA,131,NA,24,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0012,12,NA,0012,NA,NA,2018-11-17,-362,1,NA,NA,y,1,1,0,n
spring,2012,2012-B,Chris & Quin,2012-05-29,2,120,100,NA,NA,y,n,16,Peromyscus,californicus,NA,NA,NA,NA,NA,M,NA,120,NA,25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0016,16,NA,0016,NA,NA,2018-11-17,-2363,852,NA,NA,y,2,2,0,n
spring,2012,2012-B,Tyler,2012-05-30,3,20,80,NA,NA,y,y,16,NA,NA,NA,NA,NA,NA,NA,M,NA,90,NA,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0016,16,NA,0016,1,101.9803902718557,2018-11-17,-2362,1,NA,NA,n,NA,2,0,n
spring,2012,2012-B,Chris & Quin,2012-05-28,1,180,240,NA,NA,y,y,17,Peromyscus,truei,NA,NA,NA,NA,NA,M,NA,95,NA,20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0017,17,NA,0017,NA,NA,2018-11-17,-2364,NA,NA,NA,y,1,1,0,n
spring,2012,2012-B,Chris & Sam,2012-05-30,3,180,240,NA,NA,y,y,17,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0017,17,NA,0017,2,0,2018-11-17,-2362,2,NA,NA,n,NA,1,0,n
summer,2012,2012-C,Chris Lay & Alex Jones,2012-09-07,2,120,180,NA,NA,y,n,18,Peromyscus,truei,NA,NA,14,NA,NA,F,NA,83,NA,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0018,18,NA,0018,NA,NA,2018-11-17,-2262,NA,NA,NA,n,NA,1,0,n
fall,2012,2012-D,"V. Williams, J. Johnson, J. Smith",2012-11-12,3,60,260,NA,NA,y,y,18,Peromyscus,truei,NA,NA,NA,NA,NA,M,NA,92,NA,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; DEAD,NA,NA,NA,0018,18,NA,0018,66,100,2018-11-17,-2196,66,NA,NA,y,1,1,0,n
spring,2012,2012-B,Tyler,2012-05-30,3,40,140,NA,NA,y,y,19,NA,NA,NA,NA,NA,NA,NA,M,NA,90,NA,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0019,19,NA,0019,NA,NA,2018-11-17,-2362,NA,NA,NA,y,1,1,0,n
summer,2012,2012-C,J. Smith,2012-09-07,2,180,120,NA,NA,y,y,20,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0020,20,NA,0020,NA,NA,2018-11-17,-2262,NA,NA,NA,y,1,1,0,n
