quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments,dead,no_tag,no_tag_reason,tag_no,tag_no_new,tag_prefix,tag_id_new,date_dist,trap_dist,FE_startdate,FE_datediff,date_dist_no,tag_prefix_new,FEtag_change,new_tag,n,tag_group,tag_no_prefix,tag_id_change
winter,2018,2018-A,"Chris Law, Anna Nisi",2018-02-24,1,100,260,NA,NA,y,n,FT0495,Peromyscus,truei,NA,NA,23,adult,NA,F,NA,120,NA,22,18,0,NA,NA,NA,NA,NA,NA,NA,NA,EAR PUNCH,NA,NA,NA,0495,495,FT,FT0495,NA,NA,2018-11-17,-266,663,FT,n,y,1,1,0,y
spring,2018,2018-B,"Lia, Anna",2018-05-13,2,120,240,NA,NA,y,y,FT0495,Peromyscus,truei,NA,NA,24,adult,NA,M,NA,104,NA,22,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0495,495,FT,FT0495,78,28.284271247461902,2018-11-17,-188,1,FT,n,n,NA,1,0,y
winter,2017,2017-A,"Deanna Rhodes, Carly Sanchez, & Jessica Elgerson",2017-02-10,1,80,240,NA,NA,y,NA,SHARPIE1_2017A,Peromyscus,truei,NA,NA,29,adult,reproductive,F,NA,103,NA,22,15,0,N,0,0,NA,NA,Y,NA,NA,Y; 2 RIPPED EARS; SHARPIE @ BASE OF TAIL (DRAWING INCLUDED OF MARK VERTICALLY ALIGNED WITH TAIL); SLIGHTLY INJURED,NA,NA,NA,0001,1,SHARPIE,SHARPIE0001,NA,NA,2018-11-17,-645,198,SHARPIE,n,y,1,1,0,y
winter,2017,2017-A,"Deanna Rhodes, Carly Sanchez, & Megan Graham",2017-02-11,2,80,260,NA,NA,y,y,SHARPIE1_2017A,Peromyscus,truei,NA,NA,26,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0001,1,SHARPIE,SHARPIE0001,1,20,2018-11-17,-644,1,SHARPIE,n,n,NA,1,0,y
winter,2017,2017-A,"Deanna Rhodes, Megan Pasternak",2017-02-13,3,80,260,NA,NA,y,y,SHARPIE1_2017A,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,"Y; TAIL INJURED, 2 RIPPED EARS",NA,NA,NA,0001,1,SHARPIE,SHARPIE0001,2,0,2018-11-17,-642,2,SHARPIE,n,n,NA,1,0,y
winter,2017,2017-A,"Deanna Rhodes, Carly Sanchez, & Jessica Elgerson",2017-02-10,1,80,160,NA,NA,y,NA,SHARPIE2_2017A,Peromyscus,truei,NA,NA,32,adult,reproductive,F,NA,110,NA,22,18,0,N,0,0,NA,NA,Y,NA,NA,Y; 2 RIPPED EARS; Pregnant? SHARPIE TAIL BASE HORIZONTAL; (DRAWING INCLUDED OF LOCATION OF SHARPIE MARK),NA,NA,NA,0002,2,SHARPIE,SHARPIE0002,NA,NA,2018-11-17,-645,97,SHARPIE,n,y,1,1,0,y
winter,2017,2017-A,"Deanna Rhodes, Megan Pasternak",2017-02-13,3,100,140,NA,NA,y,y,SHARPIE2_2017A,Peromyscus,truei,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,Y,NA,NA,Y; 2 RIPPED EARS,NA,NA,NA,0002,2,SHARPIE,SHARPIE0002,3,28.284271247461902,2018-11-17,-642,3,SHARPIE,n,n,NA,1,0,y
spring,2009,2009-B,NA,2009-04-29,1,20,40,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-17,-3489,NA,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,20,80,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,20,100,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,20,160,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,60,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,20,180,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,20,200,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,20,260,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,60,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,20,280,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,40,40,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,240.8318915758459,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,40,60,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,40,100,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,40,140,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,40,160,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,40,200,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,40,220,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,40,260,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,60,20,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,240.8318915758459,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,60,40,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,60,60,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,60,80,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,60,100,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,60,120,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,60,140,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,60,160,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,60,180,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,60,200,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,60,220,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,60,240,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,60,260,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,60,280,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,80,20,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,260.76809620810593,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,80,40,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,80,60,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,80,80,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,80,100,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,80,120,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,80,140,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,80,160,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,80,180,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,80,220,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,80,240,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,100,20,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,220.90722034374522,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,100,40,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,100,60,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,100,80,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,100,100,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,100,120,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,100,140,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,100,180,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,100,200,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,100,220,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,100,240,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,100,260,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,100,280,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,120,60,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,220.90722034374522,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,120,100,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,120,120,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,120,140,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,120,160,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,120,180,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,120,200,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,120,220,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,120,280,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,60,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,140,20,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,260.76809620810593,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,140,40,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,140,60,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,140,80,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,140,100,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,140,120,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,140,140,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,140,160,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,140,180,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
spring,2009,2009-B,NA,2009-04-29,1,140,200,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,2018-11-17,-3489,0,NA,NA,NA,NA,1,0,NA
