quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id_old,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
fall,2014,2014-D,Maycee & Leah,11/16/14,3,100,40,NA,NA,Y,N,418,418,Peromyscus,truei,30,NA,NA,NA,NA,F,NA,105,NA,23,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,180,40,NA,NA,Y,N,419,419,Peromyscus,truei,18,NA,NA,NA,NA,M,NA,87,NA,23,15,1,Y,NA,NA,NA,NA,NA,NA,NA,Y; TICKS (1 ON BLADE OF GRASS; ONE ON NOSE)
winter,2015,2015-A,"Tina Cheng, & Bilad Bahtti",2/16/15,3,180,20,NA,NA,Y,Y,419,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Y,0,1,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2/11/13,3,40,20,NA,NA,Y,N,424,424,Peromyscus,californicus,36,NA,36,adult,NA,F,NA,97,NA,23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,Jessica & Matt,11/12/12,3,120,180,NA,NA,Y,N,425,425,Peromyscus,truei,25,NA,NA,NA,NA,F,NA,80,NA,21,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,"Matt, Jessica, Denn",11/11/12,2,160,280,NA,NA,Y,N,426,426,Peromyscus,californicus,30,NA,NA,NA,NA,NA,NA,120,NA,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,M.H & Y.W,5/18/13,1,100,20,NA,NA,Y,N,427,427,Peromyscus,truei,24,NA,NA,NA,NA,F,NA,100,NA,23,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,Maycee & Rachel,5/20/13,3,80,20,NA,NA,Y,Y,427,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2013,2013-C,Jessica & Courtney,8/9/13,1,100,40,NA,NA,Y,Y,427,427,Peromyscus,truei,39,10,29,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2013,2013-C,NA,8/10/13,2,60,20,NA,NA,Y,Y,427,427,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2013,2013-C,J. Smith & H. Pistoni,8/11/13,3,80,20,NA,NA,Y,Y,427,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2013,2013-C,Jessica & Robyn,8/10/13,2,180,60,NA,NA,N,N,428,428,Peromyscus,californicus,39,NA,NA,NA,NA,M,NA,121,NA,26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2013,2013-C,Rosa & Ariana,8/11/13,3,160,80,NA,NA,Y,Y,428,428,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,"Rosa, Ronald",8/4/14,1,180,100,NA,NA,Y,Y,428,428,Peromyscus,californicus,49,NA,NA,NA,NA,M,NA,128,NA,24,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,Justine,8/6/14,1,180,160,NA,NA,Y,Y,428,428,NA,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2014,2014-D,"Justin, Rosa, Colby",11/14/14,1,160,120,NA,NA,Y,Y,428,428,Peromyscus,californicus,43,NA,NA,NA,NA,M,NA,124,NA,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; TAIL HAS OLD BREAK TOWARD BASE
fall,2014,2014-D,Christian & Jessica,11/15/14,2,160,100,NA,NA,Y,Y,428,428,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2014,2014-D,Chatherine & Christian,11/16/14,3,180,120,NA,NA,Y,Y,428,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,180,160,NA,NA,Y,Y,428,428,Peromyscus,californicus,40,NA,NA,NA,NA,M,NA,128,NA,26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; POSSIBLY 178
winter,2015,2015-A,"Tina, Jordan, Savannah",2/15/15,2,180,160,NA,NA,Y,Y,428,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,Tina & Bilad,2/16/15,3,160,160,NA,NA,Y,Y,428,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y; TAG FADED ON THE ""4"""
winter,2016,2016-A,Natalie Neff,2/7/16,2,80,160,NA,NA,Y,Y,429,429,Peromyscus,truei,35,10,25,adult,lactating,F,67,110,NA,25,17,0,N,0,0,NA,NA,NA,NA,NA,NA
winter,2016,2016-A,"Luz, Casey, Alex",2/8/16,3,60,180,NA,NA,Y,Y,429,429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2016,2016-B,Rachale Greenfield & Chris Law,4/30/16,1,60,180,NA,NA,Y,NA,429,429,Peromyscus,truei,43,10,33,adult,NA,F,89,140,NA,23,19,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y; ENGORED TICK
spring,2016,2016-B,"N.N, Dena.S",5/2/16,3,80,160,NA,NA,Y,Y,429,429,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; HAD EAR PUNCH
summer,2016,2016-C,Natalie Neff,7/27/16,2,80,160,NA,NA,Y,Y,429,429,Peromyscus,truei,35,10,25,adult,lactating,F,67,110,NA,25,17,0,N,0,0,NA,NA,NA,NA,NA,NA
summer,2016,2016-C,"Luz, Carly, Alea",7/28/16,3,60,180,NA,NA,Y,Y,429,429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2013,2013-D,"Rosa, Whitney, Sam",11/16/13,1,60,280,NA,NA,Y,N,430,430,Peromyscus,boylii,32,NA,32,adult,NA,M,NA,126,NA,24,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2013,2013-D,"Rosa, Whitney, Sam",11/16/13,1,100,280,NA,NA,Y,N,433,433,Peromyscus,californicus,43,NA,43,adult,NA,M,NA,136,NA,26,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2013,2013-D,"Megan, Whitney",11/17/13,2,80,200,NA,NA,Y,N,434,434,Peromyscus,boylii,30,NA,30,adult,NA,F,NA,90,NA,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2013,2013-D,Alex,11/18/13,3,80,220,NA,NA,Y,Y,434,434,Peromyscus,boylii,20,NA,20,adult,NA,M,NA,106,NA,23,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2014,2014-D,Tina Cheng & Mollie King,11/14/14,1,100,140,NA,NA,Y,N,435,435,Peromyscus,truei,48,7,41,NA,NA,F,NA,100,NA,20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2013,2013-C,Jessica & Courtney,8/9/13,1,100,20,NA,NA,Y,N,440,440,Peromyscus,truei,35,10,25,NA,NA,M,NA,105,NA,23,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2013,2013-C,Ariana & Rosa,8/10/13,2,100,20,NA,NA,Y,Y,440,440,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2014,2014-D,Tina Cheng & Mollie King,11/14/14,1,120,280,NA,NA,Y,Y,443,443,Peromyscus,truei,30,NA,NA,NA,NA,M,NA,68,NA,24,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; TAIL BLUNT
fall,2013,2013-D,"Rosa, Whitney, Sam",11/16/13,1,40,40,NA,NA,Y,N,445,445,Peromyscus,boylii,21,NA,21,adult,NA,F,NA,108,NA,24,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2013,2013-D,"Justine, Whitney, Odik",11/18/13,3,40,40,NA,NA,Y,Y,446,446,Peromyscus,boylii,25,NA,25,adult,NA,M,NA,118,NA,25,17,5,NA,NA,NA,NA,NA,NA,NA,NA,5 ticks on face- unhealthy?
spring,2013,2013-B,NA,5/20/13,3,160,80,NA,NA,Y,N,448,448,Peromyscus,californicus,45,NA,NA,NA,NA,M,NA,135,NA,26,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,M.H & Y.W,5/18/13,1,120,20,NA,NA,Y,N,450,450,Peromyscus,californicus,40,NA,NA,NA,NA,F,NA,127,NA,26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; CHECK IF RECAPTURED
fall,2013,2013-D,"Rosa, Laura",11/18/13,3,140,60,NA,NA,Y,Y,450,450,Peromyscus,californicus,41,NA,41,adult,NA,M,NA,111,NA,26,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,napping
summer,2014,2014-C,"Rosa, Ronald",8/4/14,1,140,60,NA,NA,Y,Y,450,450,Peromyscus,californicus,61,NA,NA,NA,pregnant,F,NA,130,NA,26,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,Justine & Quye,8/5/14,2,120,60,NA,NA,Y,Y,450,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,Justine,8/6/14,1,100,60,NA,NA,Y,Y,450,450,NA,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2014,2014-D,Tina Cheng & Mollie King,11/14/14,1,120,60,NA,NA,Y,Y,450,450,Peromyscus,californicus,62,7,55,NA,NA,F,NA,130,NA,25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2014,2014-D,Leah & Maycee,11/15/14,2,120,60,NA,NA,Y,Y,450,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,"Tina Cheng, & Bilal",2/14/15,1,120,60,NA,NA,Y,Y,450,450,Peromyscus,californicus,55,9,46,NA,NA,F,NA,142,NA,23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; MALE?
fall,2013,2013-D,"Megan, Whitney",11/17/13,2,20,260,NA,NA,Y,Y,452,1452,Peromyscus,boylii,25,NA,25,adult,NA,F,NA,102,NA,24,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2015,2015-D,Justine & Ayana,11/8/15,2,120,280,NA,NA,Y,N,452,452,Peromyscus,californicus,52,11,41,adult,non-reproductive,F,NA,125,NA,25,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,Justine,8/4/14,1,40,40,NA,NA,Y,Y,457,457,Peromyscus,californicus,48,NA,NA,NA,NA,M,NA,140,NA,27,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; VERY RED COLORATION
summer,2014,2014-C,Justine & Quye,8/5/14,2,40,20,NA,NA,Y,Y,457,457,Peromyscus,californicus,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2014,2014-D,Christian & Jessica,11/14/14,1,60,40,NA,NA,Y,Y,457,457,Peromyscus,californicus,38,NA,NA,NA,NA,M,NA,142,NA,25,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2014,2014-D,Tina Cheng & Mollie King,11/15/14,2,40,20,NA,NA,Y,Y,457,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,40,40,NA,NA,Y,Y,457,457,Peromyscus,californicus,45,NA,NA,NA,NA,M,NA,144,NA,24,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,Justine,2/15/15,2,20,60,NA,NA,Y,Y,457,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,"Maycee Hush, Duncan (volunteer)",2/16/15,3,40,40,NA,NA,Y,Y,457,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2010,2010-B,"Kiri, Yasaman, Kathy",5/1/10,3,160,60,NA,NA,Y,Y,460,1460,Peromyscus,truei,16,NA,NA,NA,NA,M,NA,80,NA,21,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,Justine,8/4/14,1,20,20,NA,NA,Y,Y,460,460,Peromyscus,californicus,48,NA,NA,NA,NA,M,NA,142,NA,28,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,Justine & Quye,8/5/14,2,60,40,NA,NA,Y,Y,460,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; ALSO DEAD SHREW
summer,2014,2014-C,Justine,8/6/14,1,60,40,NA,NA,Y,Y,460,460,NA,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,escaped
fall,2014,2014-D,Christian & Jessica,11/14/14,1,40,20,NA,NA,Y,Y,460,460,Peromyscus,californicus,45,NA,NA,NA,NA,F,NA,157,NA,28,24,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; POSSIBLY NURSING; TORN RIGHT EAR
summer,2014,2014-C,Justine,8/4/14,1,20,220,NA,NA,Y,Y,461,461,Peromyscus,truei,28,NA,NA,NA,NA,M,NA,117,NA,23,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,Justine & Quye,8/5/14,2,80,260,NA,NA,Y,Y,461,461,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; FIX TRAP
summer,2014,2014-C,Justine,8/6/14,1,80,260,NA,NA,Y,Y,461,461,NA,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2016,2016-A,Tina C & Luz D,2/7/16,2,140,100,NA,NA,Y,Y,465,465,Peromyscus,truei,36,9,25,adult,non-reproductive,F,80,114,7,22,15,1,Y,0,1,NA,NA,NA,NA,NA,Y; TICK COLLECTED; PICS
spring,2016,2016-B,Natalie E Neff & Vanesssa Labrera,4/30/16,1,140,60,NA,NA,Y,Y,465,465,Peromyscus,truei,30,9,21,adult,NA,F,80,105,NA,24,16,0,N,0,0,NA,NA,NA,NA,NA,Y; UC~VANESSA; U.C. TICK :)
spring,2016,2016-B,Tina Cheng,5/2/16,3,160,80,NA,NA,Y,Y,465,465,Peromyscus,truei,NA,NA,NA,adult,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2016,2016-C,Tina Cheng & Luz D.,7/27/16,2,140,100,NA,NA,Y,Y,465,465,Peromyscus,truei,36,9,25,adult,non-reproductive,F,80,114,NA,22,15,1,Y,0,1,NA,NA,NA,NA,NA,Y; TICK COLLECTED; TORN TUFT/FLIES
winter,2017,2017-A,NA,2/10/17,1,100,40,NA,NA,Y,Y,465,465,Peromyscus,boylii,44,15,29,adult,non-reproductive,F,NA,112,10,23,16,0,N,0,0,NA,NA,Y,NA,NA,Y; 1 EAR RIPPED; TAG RIPPING
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,140,160,NA,NA,Y,N,466,466,Peromyscus,truei,21,NA,NA,NA,NA,F,NA,100,NA,21,17,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,Tina & Bilad,2/16/15,3,140,160,NA,NA,Y,Y,466,466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,"Jordan, & Paulina",5/16/15,1,140,160,NA,NA,Y,Y,466,466,Peromyscus,californicus,26,9,17,NA,NA,F,NA,104,NA,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015,2015-B,"Tina, Allie, Alexandra",7/17/15,2,140,140,NA,NA,Y,Y,466,466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2015,2015-C,Allie & Kat,8/3/15,3,80,180,NA,NA,Y,Y,466,466,Peromyscus,truei,37,9,27,adult,lactating,F,NA,112,NA,19,15,3,NA,NA,NA,Y,Y,NA,NA,NA,NA
fall,2015,2015-D,"Vanessa, Jessica, Savannah",11/7/15,1,80,160,NA,NA,Y,Y,466,466,Peromyscus,truei,40,9,31,adult,NA,F,90,115,NA,23,18,0,N,0,0,N,Y,NA,NA,NA,Y; BLOODY FECES
fall,2015,2015-D,"JAS, & N.N",11/10/15,3,80,160,NA,NA,Y,Y,466,466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,NA,5/20/13,3,180,200,NA,NA,Y,N,470,470,Peromyscus,truei,31,NA,NA,NA,NA,M,NA,107,NA,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2013,2013-C,Jessica & Courtney,8/9/13,1,160,240,NA,NA,Y,Y,470,470,Peromyscus,truei,33,10,23,NA,NA,M,NA,102,NA,21,23,1,Y,NA,NA,NA,NA,NA,NA,NA,Y; TICK BELOW LEFT EAR
fall,2015,2015-D,"JS, NN, DS",11/7/15,1,140,80,NA,NA,Y,N,471,471,Peromyscus,truei,27,10,17,adult,NA,F,NA,93,NA,22,15,NA,NA,NA,NA,N,N,NA,NA,NA,NA
fall,2015,2015-D,"Tina C, Vanessa Cabrera, & Zach Kay",11/8/15,2,160,100,NA,NA,Y,Y,471,471,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2015,2015-D,Tina C & Allie M,11/10/15,3,180,120,NA,NA,Y,Y,471,471,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2/11/13,3,60,80,NA,NA,Y,N,472,472,Peromyscus,californicus,25,NA,25,juvenile,NA,F,NA,96,NA,23,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,JUVENILE
spring,2013,2013-B,M.H & Y.W,5/18/13,1,120,200,NA,NA,Y,NA,473,473,Peromyscus,truei,25,NA,NA,NA,NA,F,NA,105,NA,22,21,NA,NA,NA,NA,NA,NA,Y,NA,NA,"Y; RIPPED RIGHT EAR, WE TAG LEFT"
spring,2013,2013-B,Jess & Maya,5/19/13,2,160,220,NA,NA,Y,Y,473,473,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,NA,5/20/13,3,140,220,NA,NA,Y,Y,473,473,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2013,2013-C,Jessica & Courtney,8/9/13,1,120,200,NA,NA,Y,Y,473,473,Peromyscus,truei,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; WAS IN TORPOR
winter,2013,2013-A,NA,2/11/13,3,20,40,NA,NA,Y,N,474,474,Peromyscus,boylii,33,NA,33,adult,NA,F,NA,98,NA,21,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,Jessica & Matt,11/12/12,3,160,160,NA,NA,Y,N,475,475,Peromyscus,truei,50,10,40,NA,NA,F,NA,105,NA,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,Jessica & Matt,11/12/12,3,180,20,NA,NA,Y,N,477,477,Peromyscus,californicus,60,10,50,NA,NA,F,NA,125,NA,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2/9/13,1,180,20,NA,NA,Y,Y,477,477,Peromyscus,californicus,43.5,NA,43.5,adult,NA,M,NA,143,NA,28,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,NA,5/18/13,1,180,20,NA,NA,Y,Y,477,477,Peromyscus,californicus,49,NA,NA,NA,NA,M,NA,135,NA,25,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2013,2013-C,Jessica & Courtney,8/9/13,1,160,20,NA,NA,Y,Y,477,477,Peromyscus,californicus,55,10,45,NA,NA,F,NA,134,NA,25,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2013,2013-C,Jessica & Robyn,8/10/13,2,140,20,NA,NA,Y,Y,477,477,Peromyscus,californicus,43,NA,NA,NA,NA,F,NA,134,NA,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2/9/13,1,180,220,NA,NA,Y,N,478,478,Peromyscus,boylii,16,NA,16,adult,NA,F,NA,102,NA,22,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2/10/13,2,160,200,NA,NA,Y,Y,478,478,NA,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2011,2011-D,NA,11/9/11,3,120,80,NA,NA,Y,Y,479,479,Peromyscus,californicus,56,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,3/6/12,1,120,100,NA,NA,Y,Y,479,479,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,Chris,3/7/12,2,120,80,Y,NA,Y,Y,479,479,Peromyscus,californicus,42,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,3/8/12,3,120,80,NA,NA,Y,Y,479,479,Peromyscus,californicus,42,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2/10/13,2,180,280,NA,NA,Y,N,479,479,Peromyscus,californicus,40,NA,40,adult,NA,F,NA,135,NA,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,NA,5/20/13,3,160,280,NA,NA,Y,Y,479,479,Peromyscus,californicus,45,NA,NA,NA,NA,F,NA,141,NA,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2013,2013-C,Rosa & Ariana,8/11/13,3,180,40,NA,NA,Y,Y,479,479,Peromyscus,truei,19,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,M.H & Y.W,5/18/13,1,80,260,NA,NA,Y,NA,481,481,Peromyscus,truei,20,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; RIPPED RIGHT EAR
spring,2013,2013-B,J. Smith & E. McDonell,5/19/13,2,80,260,NA,NA,Y,Y,481,481,Peromyscus,truei,20,NA,NA,NA,NA,F,NA,95,NA,23,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,Maycee & Rachel,5/20/13,3,80,280,NA,NA,Y,Y,481,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; TORN RIGHT EAR; TAG ON LEFT
summer,2013,2013-C,NA,8/10/13,2,60,260,NA,NA,Y,Y,481,481,Peromyscus,truei,24,NA,NA,NA,NA,F,NA,105,NA,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2013,2013-C,J. Smith & H. Pistoni,8/11/13,3,80,280,NA,NA,Y,Y,481,481,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2/9/13,1,160,180,NA,NA,Y,N,482,482,Peromyscus,boylii,28,NA,28,adult,NA,M,NA,95,NA,21,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,Jess & Maya,5/19/13,2,180,200,NA,NA,Y,Y,482,482,Peromyscus,truei,27,NA,NA,NA,NA,M,NA,93,NA,23,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,NA,5/20/13,3,180,160,NA,NA,Y,Y,482,482,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; CHECK SPECIES
winter,2013,2013-A,NA,2/9/13,1,160,80,NA,NA,Y,Y,483,483,Peromyscus,boylii,27,NA,27,adult,NA,M,NA,97,NA,22,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,TORN EAR
winter,2013,2013-A,NA,2/10/13,2,160,100,NA,NA,Y,Y,483,483,NA,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2/11/13,3,160,80,NA,NA,Y,Y,483,483,Peromyscus,boylii,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2/9/13,1,160,20,NA,NA,Y,N,484,484,Peromyscus,boylii,27,NA,27,adult,NA,F,NA,96,NA,22,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2013,2013-C,Jessica & Courtney,8/9/13,1,120,100,NA,NA,Y,NA,485,485,Peromyscus,truei,34,10,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; RIGHT EAR RIPPED
summer,2013,2013-C,Ariana & Rosa,8/10/13,2,120,100,NA,NA,Y,Y,485,485,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
