quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id_old,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
fall,2009,2009-D,"Kiri, Yiwei, Gage",10/29/09,3,180,40,NA,NA,Y,Y,9,1009,Peromyscus,boylii,NA,NA,24,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,"J. Smith, C. Newcomb, B. Blessing, J. Scolaso",9/6/12,1,60,280,NA,NA,Y,Y,9,9,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,"Matt, Jessica, Denn, Vaughon & Rachel",11/11/12,2,20,220,NA,NA,Y,Y,9,9,Peromyscus,truei,28,10,18,NA,NA,M,NA,100,NA,24,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,"V. Williams, J. Johnson, J. Smith",11/12/12,3,20,220,NA,NA,Y,Y,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2015,2015-C,"Jordan, Allie, Jessica",8/1/15,1,160,160,NA,NA,Y,N,10,10,Peromyscus,californicus,50,10,40,adult,NA,M,NA,128,NA,27,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2015,2015-C,Tina & Kat,8/2/15,2,140,160,NA,NA,Y,Y,10,10,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA
summer,2015,2015-C,Tina Cheng,8/3/15,3,140,160,NA,NA,Y,Y,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2017,2017-D,Alex Jones,11/20/17,3,40,280,NA,NA,Y,Y,12,12,Peromyscus,californicus,55,10,45,adult,NA,F,NA,131,6,24,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2010,2010-A,NA,1/28/10,1,160,260,NA,NA,Y,N,16,1016,Peromyscus,californicus,57.5,NA,57.5,adult,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,5/29/12,2,120,100,NA,NA,Y,N,16,16,Peromyscus,californicus,40,NA,NA,NA,NA,M,NA,120,NA,25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
