tag_id_new,species,mark
0050,truei,000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 
0051,californicus,110 111 100 100 100 101 100 000 000 100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0051,truei,000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0052,californicus,000 000 000 000 000 000 000 000 000 000 000 000 101 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0052,truei,000 000 000 000 000 000 000 000 000 001 000 000 000 000 000 000 000 000 000 000 000 010 000 001 000 000 000 000 000 000 000 000 000 
0053,californicus,000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 
0054,californicus,000 000 000 000 000 100 000 001 000 000 110 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0054,truei,000 000 000 000 000 000 000 000 000 000 001 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0055,truei,000 000 000 000 000 000 000 000 000 000 000 010 100 000 101 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0056,truei,000 000 100 000 000 000 100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0057,truei,000 000 101 000 000 000 101 010 010 000 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0058,californicus,000 000 000 000 000 000 000 000 000 000 000 110 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0059,californicus,000 000 000 000 000 000 000 010 101 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0060,truei,000 000 101 000 000 000 101 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0061,californicus,000 000 000 000 000 000 000 100 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0061,truei,000 000 001 000 000 000 001 000 000 000 000 011 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0062,truei,000 100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0063,californicus,000 000 000 000 000 000 000 000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0065,californicus,000 000 000 000 000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0065,truei,000 000 000 000 000 000 000 000 000 000 010 011 111 110 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0066,californicus,000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0066,truei,000 000 000 000 000 000 000 000 000 000 000 100 000 000 000 000 100 000 000 000 000 000 100 000 000 000 000 000 000 000 000 000 000 
0067,truei,000 000 000 000 000 000 000 000 000 000 000 100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0070,californicus,000 000 000 000 000 000 000 000 000 000 000 111 100 101 111 111 110 101 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0070,truei,000 000 000 000 000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0071,californicus,000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0072,californicus,000 000 000 000 000 000 000 000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0073,californicus,000 000 000 000 000 000 000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0074,californicus,000 000 000 000 000 000 000 000 000 000 000 000 011 000 100 110 110 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0075,truei,000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 010 100 101 000 000 000 000 000 000 000 000 000 
0076,californicus,000 000 000 000 000 000 000 000 000 000 111 110 011 100 101 111 110 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0077,californicus,000 000 010 000 000 000 010 000 101 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0077,truei,000 000 001 000 000 110 001 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0078,californicus,000 000 101 000 000 101 101 000 101 000 000 010 110 000 101 110 101 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0079,truei,000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 100 000 000 000 000 000 000 000 000 000 000 000 
