quarter,year,ID,date,day_no,tag_error_flag,tag_id,tag_id_new,date_dist,trap_dist,x,y,animal,recap,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,comments
winter,2010,2010-A,2010-01-28,1,NA,16,1016,NA,NA,160,260,Y,N,Peromyscus,californicus,57.5,NA,57.5,adult,NA,M,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,2012-05-29,2,NA,16,0016,NA,NA,120,100,Y,N,Peromyscus,californicus,40,NA,NA,NA,NA,M,NA,120,NA,25,20,NA
spring,2012,2012-B,2012-05-30,3,trap distance large,16,0016,1,101.9803902718557,20,80,Y,Y,NA,NA,40,NA,NA,NA,NA,M,NA,90,NA,18,15,NA
spring,2012,2012-B,2012-05-28,1,NA,17,0017,NA,NA,180,240,Y,Y,Peromyscus,truei,32,NA,NA,NA,NA,M,NA,95,NA,20,15,NA
spring,2012,2012-B,2012-05-30,3,NA,17,0017,2,0,180,240,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,2012-09-07,2,NA,18,0018,NA,NA,120,180,Y,N,Peromyscus,truei,22,8,14,NA,NA,F,NA,83,NA,22,18,NA
fall,2012,2012-D,2012-11-12,3,trap distance large,18,0018,66,100,60,260,Y,Y,Peromyscus,truei,20,NA,NA,NA,NA,M,NA,92,NA,22,18,Y; DEAD
spring,2012,2012-B,2012-05-30,3,NA,19,0019,NA,NA,40,140,Y,Y,NA,NA,35,NA,NA,NA,NA,M,NA,90,NA,18,15,NA
summer,2012,2012-C,2012-09-07,2,NA,20,0020,NA,NA,180,120,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,2012-09-08,3,trap distance large,20,0020,1,188.67962264113208,20,20,Y,N,Peromyscus,californicus,50,10,40,NA,NA,NA,NA,140,NA,26,22,NA
winter,2012,2012-A,2012-03-05,1,NA,21,0021,NA,NA,180,280,Y,N,Peromyscus,truei,25,NA,25,adult,NA,F,NA,100,NA,23,18,MISSING DATA SHEET
fall,2010,2010-D,2010-11-06,3,NA,22,1022,NA,NA,120,100,Y,Y,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,2012-05-28,1,NA,22,2022,NA,NA,20,20,Y,N,Peromyscus,truei,15,NA,NA,NA,NA,M,NA,90,NA,23,18,NA
spring,2015,2015-B,2015-05-18,3,NA,22,0022,NA,NA,180,20,Y,NA,Peromyscus,truei,36,9,27,NA,NA,M,NA,111,NA,22,18,NA
spring,2009,2009-B,2009-04-29,1,NA,1023,1023,NA,NA,40,120,Y,N,Peromyscus,californicus,NA,NA,46,adult,NA,F,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,2009-04-30,2,NA,1023,1023,1,28.284271247461902,20,140,Y,Y,Peromyscus,californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,2009-05-01,3,NA,1023,1023,1,20,40,140,Y,Y,Peromyscus,californicus,NA,NA,50,adult,NA,NA,NA,NA,NA,NA,NA,NA
summer,2009,2009-C,2009-07-29,1,NA,1023,1023,89,20,20,140,Y,Y,Peromyscus,californicus,NA,NA,49,adult,NA,F,NA,NA,NA,NA,NA,NA
summer,2009,2009-C,2009-07-30,2,NA,1023,1023,1,28.284271247461902,40,120,Y,Y,Peromyscus,californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA
summer,2009,2009-C,2009-07-31,3,NA,1023,1023,1,20,40,140,Y,Y,Peromyscus,californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,2012-05-28,1,NA,23,2023,NA,NA,60,20,Y,Y,Peromyscus,truei,30,NA,NA,NA,NA,M,NA,70,NA,20,15,Y; TAG RIPPED OUT
spring,2012,2012-B,2012-05-29,2,NA,23,2023,1,0,60,20,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,2012-09-06,1,NA,23,2023,100,20,80,20,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
