quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,species_together,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
summer,2009,2009-C,NA,2009-07-30,2,160,20,NA,NA,Y,Y,0009,Peromyscus,boylii,NA,NA,NA,27,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
fall,2009,2009-D,"Kiri, Yiwei, Gage",2009-10-29,3,180,40,NA,NA,Y,Y,0009,Peromyscus,boylii,NA,NA,NA,24,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,"J. Smith, C. Newcomb, B. Blessing, J. Scolaso",2012-09-06,1,60,280,NA,NA,Y,Y,0009,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,"Matt, Jessica, Denn, Vaughon & Rachel",2012-11-11,2,20,220,NA,NA,Y,Y,0009,Peromyscus,truei,Peromyscus truei,28,10,18,NA,NA,M,NA,100,NA,24,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,"V. Williams, J. Johnson, J. Smith",2012-11-12,3,20,220,NA,NA,Y,Y,0009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2015,2015-C,"Jordan, Allie, Jessica",2015-08-01,1,160,160,NA,NA,Y,N,0010,Peromyscus,californicus,Peromyscus californicus,50,10,40,adult,NA,M,NA,128,NA,27,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2015,2015-C,Tina & Kat,2015-08-02,2,140,160,NA,NA,Y,Y,0010,Peromyscus,californicus,Peromyscus californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA
summer,2015,2015-C,Tina Cheng,2015-08-03,3,140,160,NA,NA,Y,Y,0010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2017,2017-D,Alex Jones,2017-11-20,3,40,280,NA,NA,Y,Y,0012,Peromyscus,californicus,Peromyscus californicus,55,10,45,adult,NA,F,NA,131,6,24,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2010,2010-A,NA,2010-01-28,1,160,260,NA,NA,Y,N,1016,Peromyscus,californicus,Peromyscus californicus,57.5,NA,57.5,adult,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
