quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,species_together,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
summer,2012,2012-C,"J. Smith, C. Newcomb, B. Blessing, J. Scolaso",2012-09-06,1,40,60,NA,NA,Y,Y,0796,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,Justine Smith & Rachel Brown,2012-09-07,2,80,60,NA,NA,Y,Y,0796,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,NA,2012-09-08,3,60,60,NA,NA,Y,Y,0796,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,"Ian, Vaughon, Chris",2012-11-10,1,60,40,NA,NA,Y,Y,0796,Peromyscus,truei,Peromyscus truei,65,30,35,NA,NA,M,NA,103,NA,23,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,Vaughon & Rachel,2012-11-11,2,60,40,NA,NA,Y,Y,0796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; CAUGHT 11/10/12
fall,2012,2012-D,"V. Williams, J. Johnson, J. Smith",2012-11-12,3,60,40,NA,NA,Y,Y,0796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2016,2016-A,Tina C & Luz D,2016-02-07,2,180,220,NA,NA,Y,Y,0800,Peromyscus,truei,Peromyscus truei,47.5,14.5,33,adult,NA,M,80,90,NA,23,16,0,N,0,0,NA,NA,NA,NA,NA,NA
winter,2016,2016-A,"Tina, Malone, John",2016-02-08,3,180,220,NA,NA,Y,Y,0800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2016,2016-C,Tina Cheng & Luz D.,2016-07-27,2,180,220,Y,NA,Y,NA,0800,Peromyscus,truei,Peromyscus truei,47.5,14.5,33,adult,NA,M,80,90,NA,23,16,0,N,0,0,NA,NA,NA,NA,NA,NA
summer,2016,2016-C,"Tina Cheng, John, Malone",2016-07-28,3,180,220,NA,NA,Y,Y,0800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2017,2017-A,"Ilona Wilde, Tina Cheng, Erin Huntsinger",2017-02-11,2,180,180,NA,NA,Y,Y,0800,Peromyscus,truei,Peromyscus truei,36,10,26,adult,non-reproductive,M,NA,103,6,19,17,0,N,0,0,NA,NA,NA,NA,NA,NA
spring,2017,2017-B,Chris Law & Colby,2017-04-14,1,180,160,NA,NA,Y,Y,0800,Peromyscus,truei,Peromyscus truei,36,11,25,adult,NA,F,NA,97,NA,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y; 84.6, 66.6, 88.4, 82, 91.3"
spring,2017,2017-B,Chris Law & Luz DeWit,2017-04-16,3,160,200,NA,NA,Y,Y,0800,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y; 50.3, 51,8, 62,3 59,3 56.8"
winter,2011,2011-A,NA,2011-02-03,1,120,20,NA,NA,Y,N,0801,Peromyscus,boylii,Peromyscus boylii,29,NA,29,adult,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bleeding out of vagina, MISSING DATA SHEET"
fall,2009,2009-D,NA,2009-10-29,3,160,280,NA,NA,Y,N,0802,Peromyscus,boylii,NA,NA,NA,24,adult,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,Y,NA,escaped
spring,2011,2011-B,Yiwe & Nick T.,2011-05-04,3,160,280,NA,NA,Y,N,0803,Peromyscus,truei,Peromyscus truei,25,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Leiyhton,2011-05-05,2,140,280,NA,NA,Y,Y,0803,Peromyscus,truei,Peromyscus truei,34,9,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-06,1,160,280,NA,NA,Y,N,0803,Peromyscus,truei,Peromyscus truei,25,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2015,2015-C,Tina & Kat,2015-08-02,2,120,80,NA,NA,Y,N,0809,Peromyscus,californicus,Peromyscus californicus,36,7,29,juvenile,NA,F,NA,126,NA,26,21,NA,NA,NA,NA,Y,Y,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-04,3,20,20,NA,NA,Y,N,0810,Peromyscus,truei,Peromyscus truei,24,NA,NA,NA,NA,M,NA,NA,NA,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-06,1,20,20,NA,NA,Y,N,0810,Peromyscus,truei,Peromyscus truei,24,NA,NA,NA,NA,M,NA,NA,NA,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2011,2011-A,"Y Wang, & B Lehman",2011-02-04,1,160,40,NA,NA,Y,N,0811,Peromyscus,truei,Peromyscus truei,37,9,28,NA,NA,F,NA,110,NA,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,"Jordan, & Paulina",2015-05-16,1,160,160,NA,NA,Y,Y,0811,Peromyscus,californicus,Peromyscus californicus,41,9,32,NA,NA,M,NA,125,NA,25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,RECAP NO TAG/RETAGGED
NA,2015,2015-B,"Tina, Allie, Alexandra",2015-07-17,2,160,160,NA,NA,Y,Y,0811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2011,2011-A,"Y Wang, & B Lehman",2011-02-04,1,140,100,NA,NA,Y,N,0812,Peromyscus,truei,Peromyscus truei,24,NA,NA,NA,NA,M,NA,100,NA,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-04,3,20,180,NA,NA,Y,N,1813,Peromyscus,truei,Peromyscus truei,26,NA,NA,NA,NA,M,NA,NA,NA,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Nick T & Ian,2011-05-05,2,40,160,NA,NA,Y,Y,1813,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-06,1,20,180,NA,NA,Y,N,1813,Peromyscus,truei,Peromyscus truei,26,NA,NA,NA,NA,M,NA,NA,NA,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,Jordan & Alex,2015-05-18,3,80,20,NA,NA,Y,N,0813,Peromyscus,truei,Peromyscus truei,20,NA,NA,NA,NA,F,NA,88,NA,22,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-04,3,180,40,NA,NA,Y,N,0814,Peromyscus,NA,Peromyscus,17,NA,NA,NA,NA,NA,NA,NA,NA,22,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-06,1,180,40,NA,NA,Y,N,0814,Peromyscus,NA,Peromyscus,NA,17,NA,NA,NA,NA,NA,NA,NA,22,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,"Rosa, Ronald",2014-08-04,1,160,80,NA,NA,Y,N,0815,Peromyscus,truei,Peromyscus truei,35,NA,NA,NA,NA,M,NA,119,NA,29,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-04,3,120,260,NA,NA,Y,N,0817,Peromyscus,californicus,Peromyscus californicus,50,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-06,1,120,260,NA,NA,Y,N,0817,Peromyscus,californicus,Peromyscus californicus,50,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Leiyhton,2011-05-05,2,20,260,NA,NA,Y,N,1818,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,F,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,BLACK >1/2
fall,2015,2015-D,"JAS, & N.N",2015-11-10,3,40,280,NA,NA,Y,N,0818,Peromyscus,truei,Peromyscus truei,20,10,10,juvenile,non-reproductive,M,NA,78,NA,21,15,0,N,0,0,N,N,NA,NA,NA,NA
summer,2014,2014-C,Justine,2014-08-06,1,140,80,NA,NA,Y,N,0822,NA,NA,NA NA,12,NA,12,adult,NA,F,NA,77,NA,20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,see picture
summer,2014,2014-C,"Rosa, Ronald",2014-08-04,1,140,140,NA,NA,Y,N,0823,Peromyscus,truei,Peromyscus truei,20,NA,NA,NA,NA,M,NA,101,NA,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,NA,2014-08-05,2,160,120,NA,NA,Y,Y,0823,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; CAPTURED YESTERDAY
winter,2011,2011-A,"Y Wang, & B Lehman",2011-02-04,1,140,240,NA,NA,Y,Y,0824,Peromyscus,truei,Peromyscus truei,31,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; RECAP TAG RIPPED OUT X2
summer,2014,2014-C,"Rosa, Ronald",2014-08-04,1,180,120,NA,NA,Y,NA,0824,Peromyscus,truei,Peromyscus truei,24,NA,NA,NA,NA,F,NA,106,NA,21,19,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; BOTH EARS RIPPED; RETAG
summer,2014,2014-C,NA,2014-08-05,2,180,120,NA,NA,Y,Y,0824,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,Justine,2014-08-06,1,180,120,NA,NA,Y,Y,0824,NA,NA,NA NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2014,2014-D,"Justin, Rosa, Colby",2014-11-14,1,180,120,NA,NA,Y,Y,0824,Peromyscus,truei,Peromyscus truei,29,NA,NA,NA,lactating,F,NA,121,NA,19,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2014,2014-D,Christian & Jessica,2014-11-15,2,160,120,NA,NA,Y,Y,0824,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,"Rosa, Ronald",2014-08-04,1,180,40,NA,NA,Y,N,0825,Peromyscus,truei,Peromyscus truei,34,NA,NA,NA,NA,M,NA,122,NA,21,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,NA,2014-08-05,2,180,40,NA,NA,Y,Y,0825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; CAUGHT YESTERDAY
fall,2014,2014-D,Christian & Jessica,2014-11-14,1,20,140,NA,NA,Y,Y,0825,Peromyscus,truei,Peromyscus truei,45,NA,NA,NA,NA,M,NA,132,NA,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,"Maycee Hush, Duncan (volunteer)",2015-02-16,3,20,140,NA,NA,Y,Y,0825,Peromyscus,californicus,Peromyscus californicus,38,NA,NA,NA,NA,M,NA,133,NA,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,"Maya, Alex, & Tony",2015-05-16,1,60,100,NA,NA,Y,Y,0825,Peromyscus,californicus,Peromyscus californicus,48,10,38,NA,NA,M,NA,135,NA,24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,Jordan & Alex,2015-05-18,3,60,100,NA,NA,Y,Y,0825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Y,NA,NA,NA,NA,NA,NA,NA,NA
summer,2015,2015-C,"Jessica, Tina, Katherine",2015-08-01,1,40,120,NA,NA,Y,Y,0825,Peromyscus,californicus,Peromyscus californicus,55,10,45,adult,NA,M,NA,123,NA,24,23,1,Y,0,1,NA,NA,NA,NA,NA,Y; CHOPPED TAIL
fall,2015,2015-D,"Vanessa, Jessica, Savannah",2015-11-07,1,40,120,NA,NA,Y,Y,0825,Peromyscus,californicus,Peromyscus californicus,53,9,44,adult,NA,M,87,136,NA,25,21,0,N,0,0,Y,N,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-04,3,160,120,NA,NA,Y,N,0826,Peromyscus,californicus,Peromyscus californicus,52,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-06,1,160,120,NA,NA,Y,N,0826,Peromyscus,californicus,Peromyscus californicus,52,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,2012-03-05,1,160,80,NA,NA,Y,Y,0826,Peromyscus,californicus,Peromyscus californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA SHEET
spring,2011,2011-B,Yiwe & Nick T.,2011-05-04,3,160,160,NA,NA,Y,N,0827,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-06,1,160,160,NA,NA,Y,N,0827,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2011,2011-D,NA,2011-11-09,3,120,160,NA,NA,Y,Y,0827,Peromyscus,truei,Peromyscus truei,45,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,NA,2014-08-05,2,140,60,NA,NA,Y,NA,0827,Peromyscus,californicus,Peromyscus californicus,48,NA,NA,NA,NA,M,NA,142,NA,25,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-04,3,180,160,NA,NA,Y,N,1828,Peromyscus,truei,Peromyscus truei,27,NA,NA,NA,NA,F,NA,NA,NA,25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-06,1,180,160,NA,NA,Y,N,1828,Peromyscus,truei,Peromyscus truei,27,NA,NA,NA,NA,F,NA,NA,NA,25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,Justine,2014-08-06,1,180,260,NA,NA,Y,N,0828,Peromyscus,boylii,Peromyscus boylii,32,NA,32,adult,NA,F,NA,121,NA,32,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,Savannah & Justine,2015-02-16,3,80,260,NA,NA,Y,N,0829,Peromyscus,truei,Peromyscus truei,17,NA,NA,NA,NA,M,NA,99,NA,22,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Leiyhton,2011-05-05,2,20,140,NA,NA,Y,N,0830,Peromyscus,truei,Peromyscus truei,30,NA,NA,NA,NA,F,NA,NA,NA,21,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; BLACK ON TAIL >1/2
spring,2012,2012-B,Tyler,2012-05-28,1,100,280,NA,NA,Y,Y,0830,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,85,NA,20,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-06,1,120,80,NA,NA,Y,N,0832,Peromyscus,truei,Peromyscus truei,27,NA,NA,NA,lactating,F,NA,NA,NA,23,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-04,3,120,20,NA,NA,Y,Y,0834,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; LOST TAG IN LEFT EAR
spring,2011,2011-B,Leiyhton,2011-05-05,2,100,40,NA,NA,Y,Y,0834,Peromyscus,truei,Peromyscus truei,47,9,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-06,1,120,20,NA,NA,Y,NA,0834,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; LOST TAG IN LEFT EAR
fall,2011,2011-D,Y. & Brendon,2011-11-09,3,100,40,NA,NA,Y,Y,0834,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-04,3,100,240,NA,NA,Y,N,0838,Peromyscus,truei,Peromyscus truei,27,NA,NA,NA,NA,M,NA,NA,NA,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-06,1,100,240,NA,NA,Y,N,0838,Peromyscus,truei,Peromyscus truei,27,NA,NA,NA,NA,M,NA,NA,NA,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-04,3,100,280,NA,NA,Y,N,0839,Peromyscus,truei,Peromyscus truei,25,NA,NA,NA,NA,F,NA,NA,NA,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-06,1,100,280,NA,NA,Y,N,0839,Peromyscus,truei,Peromyscus truei,25,NA,NA,NA,NA,F,NA,NA,NA,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,2012-03-05,1,100,280,NA,NA,Y,Y,0839,Peromyscus,boylii,Peromyscus boylii,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA SHEET
winter,2012,2012-A,NA,2012-03-06,1,100,280,NA,NA,Y,Y,0839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,Chris,2012-03-07,2,100,280,NA,NA,Y,Y,0839,Peromyscus,truei,Peromyscus truei,29,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,2012-03-08,3,100,280,NA,NA,Y,Y,0839,Peromyscus,truei,Peromyscus truei,29,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,"J. Smith, C. Newcomb, B. Blessing, J. Scolaso",2012-09-06,1,100,280,NA,NA,Y,Y,0839,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,Justine Smith & Rachel Brown,2012-09-07,2,100,280,NA,NA,Y,Y,0839,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,"Rachel, Meredith, Soren",2012-09-08,3,100,280,NA,NA,Y,Y,0839,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,"Ian, Vaughon, Chris",2012-11-10,1,100,280,NA,NA,Y,Y,0839,Peromyscus,truei,Peromyscus truei,63,30,33,NA,NA,F,NA,97,NA,21,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,NA,2012-11-12,3,100,280,NA,NA,Y,Y,0839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Leiyhton,2011-05-05,2,20,40,NA,NA,Y,N,0840,Peromyscus,truei,Peromyscus truei,37,NA,NA,NA,NA,F,NA,NA,NA,22,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Leiyhton,2011-05-05,2,180,120,NA,NA,Y,N,0841,Peromyscus,californicus,Peromyscus californicus,45,9,36,NA,NA,M,NA,NA,NA,24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; BLACK >50%
spring,2011,2011-B,Leiyhton,2011-05-05,2,20,180,NA,NA,Y,N,0842,Peromyscus,truei,Peromyscus truei,35,NA,NA,NA,NA,F,NA,NA,NA,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; BLACK >1/2
spring,2011,2011-B,Leiyhton,2011-05-05,2,60,280,NA,NA,Y,N,1843,Peromyscus,truei,Peromyscus truei,34,NA,NA,NA,NA,M,NA,NA,NA,24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; BLACK >1/2
fall,2011,2011-D,Rachel B & Yiwei W.,2011-11-07,1,60,260,NA,NA,Y,Y,1843,Peromyscus,truei,Peromyscus truei,44,14,20,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2011,2011-D,Yiuei & Kathlyn,2011-11-08,2,40,260,NA,NA,Y,Y,1843,Peromyscus,truei,Peromyscus truei,43,NA,NA,NA,NA,M,NA,108,NA,24,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2011,2011-D,GHD,2011-11-09,3,20,220,NA,NA,Y,Y,1843,NA,NA,NA,30,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,Justine,2014-08-06,1,160,240,NA,NA,Y,N,0843,Peromyscus,boylii,Peromyscus boylii,39,NA,39,adult,NA,M,NA,128,NA,25,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-04,3,180,220,NA,NA,Y,N,1844,Peromyscus,truei,Peromyscus truei,30,NA,NA,NA,NA,M,NA,NA,NA,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Nick T & Ian,2011-05-05,2,120,240,NA,NA,Y,Y,1844,Peromyscus,truei,Peromyscus truei,56,32,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-06,1,180,220,NA,NA,Y,N,1844,Peromyscus,truei,Peromyscus truei,30,NA,NA,NA,NA,M,NA,NA,NA,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,NA,2014-08-05,2,160,280,NA,NA,Y,N,0844,Peromyscus,californicus,Peromyscus californicus,39,NA,NA,NA,NA,F,NA,119,NA,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,NA,2014-08-05,2,180,80,NA,NA,Y,Y,0845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2014,2014-C,Justine,2014-08-06,1,180,100,NA,NA,Y,Y,0845,NA,NA,NA NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Leiyhton,2011-05-05,2,60,100,NA,NA,Y,Y,0846,Peromyscus,californicus,Peromyscus californicus,57,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,"L. Hibbehr, J. Smith",2012-09-08,3,140,100,NA,NA,Y,N,0847,Peromyscus,truei,Peromyscus truei,20,NA,NA,NA,NA,M,NA,100,NA,23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-04,3,180,120,NA,NA,Y,N,1848,Peromyscus,truei,Peromyscus truei,24,NA,NA,NA,NA,M,NA,NA,NA,23,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-06,1,180,120,NA,NA,Y,N,1848,Peromyscus,truei,Peromyscus truei,24,NA,NA,NA,NA,M,NA,NA,NA,23,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2015,2015-D,"JAS, & N.N",2015-11-10,3,40,60,NA,NA,Y,N,0848,Peromyscus,californicus,Peromyscus californicus,25,20,15,juvenile,non-reproductive,F,NA,89,NA,22,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2016,2016-B,Rachale Greenfield & Chris Law,2016-04-30,1,60,240,NA,NA,Y,Y,0849,Peromyscus,truei,Peromyscus truei,35,10,25,adult,NA,F,80,120,NA,26,21,0,N,0,NA,NA,NA,NA,NA,Y,NA
spring,2016,2016-B,Chris Law & Sam Mcnally,2016-05-01,2,60,240,NA,NA,Y,Y,0849,Peromyscus,truei,Peromyscus truei,NA,NA,NA,adult,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2016,2016-B,Vanessa Cabrera & Carly Sanchez,2016-05-02,3,60,220,NA,NA,Y,NA,0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
