tag,stemtag,SOD2017,Status2017,Date,notes
8785,1,0,A,3/14/17,
1792,,,,,missing data
8782,,,,,missing data
8787,1,0,A,3/14/17,
8786,,,,,missing data
1782,1,0,A,3/14/17,
1779,1,1,A,3/14/17,
1781,1,0,A,3/14/17,
8779,,,,,missing data
8778,,,,,missing data
8778,,,,,missing data
8791,1,0,A,3/14/17,
1776,,,,,missing data
8789,,,,,missing data
8790,,,,,missing data
8780,,,,,missing data
8737,1,1,A,3/7/17,
8882,1,1,A,3/7/17,
1154,1,0,A,3/7/17,
1140,1,1,A,3/7/17,
1087,1,0,A,3/7/17,
1088,1,0,A,3/7/17,
1138,1,2,A,3/7/17,
1131,1,0,A,3/7/17,
1137,1,2,A,3/7/17,
8747,1,0,A,3/7/17,
8746,1,0,A,3/7/17,
1089,1,5,DS,3/7/17,
1121,1,0,A,3/7/17,
1121,2,0,A,3/7/17,
1121,3,0,A,3/7/17,
1121,4,1,A,3/7/17,
1121,5,1,A,3/7/17,
1121,6,1,A,3/7/17,
1121,7,1,A,3/7/17,
1121,8,0,A,3/7/17,
1113,1,0,A,3/7/17,
1301,1,5,DS,3/11/17,
8757,1,1,A,3/11/17,
8761,1,1,A-R,3/11/17,
8756,1,0,A,3/11/17,
1337,1,1,A,3/11/17,
1338,1,0,A,3/11/17,
1260,1,0,A,3/11/17,
1067,1,0,A,3/11/17,
1274,1,0,A,3/11/17,
1383,1,0,A,3/11/17,
1485,1,0,A,3/11/17,
1486,1,0,A,3/11/17,
1370,1,1,A,3/11/17,
1546,1,0,A,3/11/17,
1542,1,-99,DC-Q,3/11/17,SOD&Status?
1559,1,0,A,3/11/17,
1559,2,0,A,3/11/17,
1559,3,1,A,3/11/17,
8770,1,0,A,3/11/17,
8764,1,0,A,3/11/17,
8764,2,-99,DS,3/11/17,
1495,1,2,A,3/11/17,
1495,2,2,A,3/11/17,
260,2,2,A,1/28/17,
260,3,5,DS,1/28/17,
201,1,1,A,1/28/17,temporary tag
209,1,5,DS-R,1/27/17,
308,1,1,A,1/28/17,
308,2,1,A,1/28/17,
287,1,1,A,1/29/17,
288,1,2,A,1/29/17,
259,1,3,A,1/28/17,
270,1,5,DS,1/29/17,
273,1,3,A,1/29/17,
273,2,1,A,1/29/17,
273,3,1,A,1/29/17,
273,4,1,A,1/29/17,
263,1,4,A-R,1/29/17,
322,1,5,DS,1/29/17,
363,1,4,A,1/29/17,
678,1,1,A,1/29/17,
681,1,1,A,1/29/17,
682,1,0,A,1/29/17,
682,2,0,A,1/29/17,
683,1,1,A,1/29/17,
627,1,1,A,1/29/17,
724,1,0,A,1/29/17,
949,1,0,A-R,3/7/17,
948,1,0,A,3/7/17,
930,1,1,A,3/7/17,
928,1,1,A,3/7/17,
11082,1,0,A,3/7/17,
834,1,0,A,3/7/17,
8744,1,0,A,3/7/17,
745,1,0,A,3/7/17,
8743,1,0,A,3/7/17,
744,1,0,A-R,3/7/17,
8742,1,0,A,3/7/17,
821,1,0,A,3/7/17,
822,1,0,A,3/7/17,
8741,1,0,A,3/7/17,
8740,1,0,A,3/7/17,
8745,1,0,A,3/7/17,
764,1,5,DS-R,3/7/17,
813,1,3,A-R,3/7/17,
749,1,5,DS,3/7/17,
8738,1,0,A,3/7/17,
227,1,2,A,1/27/17,
187,1,3,A,1/27/17,
228,1,5,SD,1/27/17,
8802,1,3,A,1/28/17,
238,1,1,A,1/28/17,
248,1,3,A,1/28/17,
8803,1,0,A,1/28/17,
239,1,,DC,1/28/17,Unable to definitively locate; lots of dead rotting trunks where it should have been. Couldn't locate tag
260,1,1,A,1/28/17,
8545,1,0,A,1/29/17,
8,1,1,A,1/28/17,
8550,1,0,A,1/27/17,
8550,2,0,A,1/27/17,
8550,3,1,A,1/27/17,
12,1,0,A,1/29/17,
14,1,1,A,1/29/17,
38,1,2,A,1/29/17,
8549,1,1,A,1/29/17,
28,1,5,DS-R,1/29/17,
27,1,5,DS,1/29/17,
98,1,3,A,1/27/17,
93,1,3,A,1/28/17,
92,1,2,A,1/28/17,
91,1,2,A,1/27/17,
91,2,2,A,1/27/17,
8552,1,1,A,1/29/17,
88,1,5,DS-R,1/27/17,
85,1,3,A,1/29/17,
83,1,1,A,1/28/17,
8553,1,1,A,1/29/17,
84,1,3,A,1/27/17,
81,1,5,DS-R,1/28/17,
81,1,4,A,1/28/17,
61,1,5,DS-R,1/29/17,
24,1,5,DS-R,1/29/17,
24,2,5,DS-R,1/29/17,
24,3,5,DS-R,1/29/17,
79,1,2,A,1/29/17,
78,1,2,A,1/29/17,
69,1,3,A,1/27/17,
8459,1,0,A,1/29/17,
8456,1,0,A,1/28/17,
8457,1,5,DS,1/29/17,
356,1,0,A,1/29/17,
354,1,,,1/29/17,Not Tan Oak
50,1,1,A,1/29/17,
486,1,3,A,1/29/17,
506,1,3,A,1/29/17,
8365,1,1,A,1/29/17,
806,1,,,3/7/17,couldn't find
807,1,,,3/7/17,couldn't find
8464,1,3,A,3/7/17,
838,1,1,A,3/7/17,
887,1,0,A-R,3/7/17,
887,2,0,A,3/7/17,
887,3,2,A-R,3/7/17,
887,4,1,A,3/7/17,
886,1,5,DS,3/7/17,
885,1,5,DS-R,3/7/17,
885,1,5,DS,3/7/17,
883,1,5,DS,3/7/17,
875,1,0,A,3/7/17,
8467,1,0,A,3/7/17,
621,1,2,A-R,3/7/17,
880,1,0,A,3/7/17,
889,1,1,A-R,3/7/17,
738,1,2,A-R,3/7/17,
735,1,1,A-R,3/7/17,
913,1,3,A,3/7/17,
891,1,2,A-R,3/7/17,
893,1,2,A-R,3/7/17,
892,1,2,A-R,3/7/17,
8468,1,3,A-R,3/7/17,
8469,1,2,A-R,3/7/17,
894,1,2,A-R,3/7/17,
914,1,1,A,3/7/17,
737,1,2,A,3/7/17,
785,1,2,A-R,3/7/17,
915,1,1,A,3/7/17,
916,1,1,A-R,3/7/17,
638,1,1,A,3/7/17,
524,1,1,A-R,3/7/17,
897,1,0,A-R,3/7/17,
917,1,0,A,3/7/17,
901,1,2,A-R,3/7/17,
8473,1,1,A,3/7/17,
8471,1,0,A,3/7/17,
790,1,0,A,3/7/17,
8470,1,1,A,3/7/17,
8472,1,1,A,3/7/17,
8475,1,0,A,3/7/17,
899,1,0,A,3/7/17,
905,1,1,A,3/7/17,
789,1,1,A,3/7/17,
8476,1,0,A,3/7/17,
908,1,0,A,3/7/17,
907,1,0,A,3/7/17,
8477,1,1,A,3/7/17,
969,1,2,A-R,3/7/17,
964,1,-99,DS,3/7/17,
967,1,5,DS,3/7/17,
982,1,3,A-R,3/7/17,
966,1,2,A,3/7/17,
980,1,2,A-R,3/7/17,
963,1,1,A-R,3/7/17,
8559,1,0,A,3/7/17,
979,1,1,A-R,3/7/17,
962,1,1,A-R,3/7/17,
977,1,5,DS,3/7/17,
970,1,1,A,3/7/17,
